FlightDate,Carrier,FlightNumber,Origin,Destination,DepartureTime,DepartureDelay,ArrivalTime,ArrivalDelay,FlightTime
1/1/2019,UA,2001,ORD,LAX,824,-6,1119,15,295
1/1/2019,UA,1836,ORD,LAX,1358,-4,1656,23,298
1/1/2019,UA,1186,ORD,LAX,2126,16,2346,5,260
1/1/2019,UA,1110,ORD,LAX,2003,47,2223,23,260
1/1/2019,UA,659,ORD,LAX,2116,51,2336,40,260
1/1/2019,UA,592,ORD,LAX,1608,13,1806,-13,238
1/1/2019,UA,566,ORD,LAX,1353,68,1615,59,262
1/1/2019,UA,531,ORD,LAX,1002,1,1225,-10,263
1/1/2019,UA,411,ORD,LAX,1940,101,2142,74,242
1/1/2019,UA,310,ORD,LAX,1132,-3,1342,-26,250
1/1/2019,UA,204,ORD,LAX,753,0,1029,-3,276
1/1/2019,AA,2364,ORD,LAX,1637,2,1909,-1,272
1/1/2019,AA,2611,ORD,LAX,1403,32,1618,11,255
1/1/2019,AA,2715,ORD,LAX,1833,8,2048,-22,255
1/1/2019,AA,2744,ORD,LAX,1251,56,1507,38,256
1/1/2019,AA,1050,ORD,LAX,1012,-3,1240,-15,268
1/1/2019,AA,1163,ORD,LAX,906,1,1134,-19,268
1/1/2019,AS,105,ORD,LAX,1910,5,2151,-3,281
1/1/2019,NK,731,ORD,LAX,1521,0,1803,3,282
1/1/2019,NK,737,ORD,LAX,916,16,1230,50,314
1/1/2019,AA,245,ORD,LAX,2030,0,2326,11,296
1/1/2019,AA,1375,ORD,LAX,1624,84,1843,68,259
1/1/2019,AA,1384,ORD,LAX,924,124,1208,118,284
1/2/2019,NK,731,ORD,LAX,1536,15,1745,-15,249
1/2/2019,NK,737,ORD,LAX,855,-5,1120,-20,265
1/2/2019,AA,245,ORD,LAX,2032,2,2246,-29,254
1/2/2019,AA,1375,ORD,LAX,1549,49,1758,23,249
1/2/2019,AA,1384,ORD,LAX,736,16,940,-30,244
1/2/2019,AA,2364,ORD,LAX,1644,9,1849,-21,245
1/2/2019,AA,2611,ORD,LAX,1345,14,1600,-7,255
1/2/2019,AA,2715,ORD,LAX,1841,16,2052,-18,251
1/2/2019,AA,2744,ORD,LAX,1434,159,1655,146,261
1/2/2019,AA,1050,ORD,LAX,1034,19,1307,12,273
1/2/2019,AA,1163,ORD,LAX,910,5,1134,-19,264
1/2/2019,AS,105,ORD,LAX,1944,39,2206,12,262
1/2/2019,UA,2194,ORD,LAX,627,-3,920,16,293
1/2/2019,UA,2001,ORD,LAX,829,-1,1054,-10,265
1/2/2019,UA,1836,ORD,LAX,1415,13,1644,11,269
1/2/2019,UA,1186,ORD,LAX,2143,33,16,35,273
1/2/2019,UA,1110,ORD,LAX,1915,-1,2141,-19,266
1/2/2019,UA,659,ORD,LAX,2042,17,2309,13,267
1/2/2019,UA,592,ORD,LAX,1616,21,1829,10,253
1/2/2019,UA,566,ORD,LAX,1259,14,1511,-5,252
1/2/2019,UA,531,ORD,LAX,958,-3,1218,-17,260
1/2/2019,UA,411,ORD,LAX,1815,16,2019,-9,244
1/2/2019,UA,310,ORD,LAX,1136,1,1345,-23,249
1/2/2019,UA,204,ORD,LAX,753,0,1013,-19,260
1/3/2019,UA,2194,ORD,LAX,625,-5,824,-40,239
1/3/2019,UA,2001,ORD,LAX,823,-7,1102,-2,279
1/3/2019,UA,1836,ORD,LAX,1359,-3,1557,-36,238
1/3/2019,UA,1186,ORD,LAX,2113,3,2320,-21,247
1/3/2019,UA,1110,ORD,LAX,1939,23,2143,-17,244
1/3/2019,UA,659,ORD,LAX,2030,5,2241,-15,251
1/3/2019,UA,592,ORD,LAX,1555,0,1758,-21,243
1/3/2019,UA,566,ORD,LAX,1247,2,1451,-25,244
1/3/2019,UA,531,ORD,LAX,1136,95,1323,48,227
1/3/2019,UA,411,ORD,LAX,1758,-1,2004,-24,246
1/3/2019,UA,310,ORD,LAX,1132,-3,1327,-41,235
1/3/2019,UA,204,ORD,LAX,752,-1,1001,-31,249
1/3/2019,AA,2364,ORD,LAX,2255,380,52,342,237
1/3/2019,AA,2611,ORD,LAX,1339,8,1536,-31,237
1/3/2019,AA,2715,ORD,LAX,1843,18,2045,-25,242
1/3/2019,AA,2744,ORD,LAX,1207,12,1402,-27,235
1/3/2019,AA,1050,ORD,LAX,1014,-1,1220,-35,246
1/3/2019,AA,1163,ORD,LAX,933,28,1141,-12,248
1/3/2019,AS,105,ORD,LAX,1904,-1,2057,-57,233
1/3/2019,NK,731,ORD,LAX,1526,5,1723,-37,237
1/3/2019,NK,737,ORD,LAX,848,-12,1110,-30,262
1/3/2019,AA,245,ORD,LAX,2034,4,2241,-34,247
1/3/2019,AA,1375,ORD,LAX,1457,-3,1658,-37,241
1/3/2019,AA,1384,ORD,LAX,732,12,921,-49,229
1/4/2019,NK,731,ORD,LAX,1515,-6,1726,-34,251
